POS;STÜCK;DURCHM;LÄNGE;GEWICHT;
RND_01_Bodenplatte;;;;;
Plan:P5_15085-02_T_08_440_BW_EUB_00;;;;;
Plan:P5_15085-02_T_08_441_BW_EUB_00;;;;;
1;27;16;5,82;248,28;
2;35;16;5,09;281,48;
3;21;16;4,22;140,02;
4;28;16;3,49;154,40;
5;34;14;3,40;139,88;
6;30;14;2,70;98,01;
7;65;16;3,27;335,83;
8;29;16;3,17;145,25;
9;36;16;3,08;175,19;
10;20;14;2,70;65,34;
11;16;14;2,00;38,72;
12;26;14;3,80;119,55;
13;27;14;3,10;101,28;
14;87;12;5,55;428,77;
15;7;12;2,40;14,92;
16;3;16;2,70;12,80;
17;12;14;1,50;21,78;
18;4;16;3,50;22,12;
112;VE;12;100,00;88,80;
Plan:P5_15085-02_T_08_442_BW_EUB_00;;;;;
1;88;16;3,49;485,25;
2;47;16;5,67;421,05;
3;7;16;3,15;34,84;
4;7;16;5,35;59,17;
5;30;16;1,85;87,69;
6;13;14;5,15;81,01;
7;18;14;3,00;65,34;
8;16;16;2,70;68,26;
9;222;14;3,82;1026,13;
10;46;14;4,02;223,75;
11;52;14;4,25;267,41;
12;26;14;4,28;134,65;
13;26;14;4,08;128,36;
14;26;14;2,88;90,60;
15;26;14;2,48;78,02;
16;6;16;2,25;21,33;
17;1;16;1,60;2,53;
18;31;14;1,90;71,27;
201;13;14;0,50;7,87;
Plan:P5_15085-02_T_08_443_BW_EUB_00;;;;;
1;27;16;4,97;212,02;
2;25;16;5,18;204,61;
3;15;16;3,25;77,03;
4;19;16;3,25;97,57;
5;7;14;2,45;20,75;
6;7;14;2,65;22,45;
7;5;14;3,50;21,18;
8;5;14;3,85;23,29;
9;5;14;3,75;22,69;
10;5;14;4,10;24,80;
11;7;14;1,50;12,70;
12;5;14;2,00;12,10;
13;5;14;2,70;16,34;
14;1;16;2,90;4,58;
15;36;14;4,69;204,30;
16;25;14;4,81;145,50;
17;32;14;5,42;209,86;
18;32;16;9,97;504,08;
19;35;16;7,50;414,75;
20;18;16;7,83;222,69;
21;130;16;5,32;1092,73;
22;33;16;2,50;130,35;
23;20;16;2,96;93,54;
24;62;14;3,75;281,33;
25;17;14;3,00;61,71;
26;17;14;3,00;61,71;
27;17;14;4,80;98,74;
28;14;14;9,45;160,08;
29;62;14;3,92;294,08;
32;1;16;8,75;13,83;
33;5;16;6,00;47,40;
34;2;16;1,75;5,53;
35;70;14;1,90;160,93;
36;1;16;3,00;4,74;
112;VE;12;100,00;88,80;
30;89;14;4,34;467,37;
31;49;14;4,42;262,06;
Plan:P5_15085-02_T_08_444_BW_EUB_01;;;;;
1;57;16;2,16;194,53;
2;99;16;2,66;416,08;
3;58;16;4,41;404,13;
4;58;16;5,91;541,59;
5;56;16;10,56;934,35;
6;50;16;13,00;1027,00;
7;220;16;12,00;4171,20;
8;15;16;5,51;130,59;
9;9;16;8,75;124,43;
10;34;16;7,00;376,04;
11;41;16;6,50;421,07;
12;90;16;14,00;1990,80;
13;32;16;2,82;142,58;
14;327;16;5,42;2800,30;
15;20;16;6,30;199,08;
16;51;16;4,35;350,52;
17;132;16;9,35;1950,04;
18;87;16;2,20;302,41;
19;22;20;9,50;516,23;
20;3;20;5,85;43,35;
21;3;20;9,00;66,69;
22;3;20;11,70;86,70;
23;3;20;8,50;62,99;
24;3;20;13,00;96,33;
25;112;16;8,00;1415,68;
